date,cases_cum,cases
9/19/2020,6811437,36236
9/20/2020,6863902,52465
9/21/2020,6902893,38991
9/22/2020,6941340,38447
9/23/2020,6985491,44151
9/24/2020,7036085,50594
9/25/2020,7080965,44880
9/26/2020,7117387,36422
9/27/2020,7150706,33319
9/28/2020,7192825,42119
9/29/2020,7234242,41417
9/30/2020,7279013,44771
10/1/2020,7333550,54537
10/2/2020,7383614,50064
10/3/2020,7419081,35467
10/4/2020,7458636,39555
10/5/2020,7500589,41953
10/6/2020,7550929,50340
10/7/2020,7607158,56229
10/8/2020,7664602,57444
10/9/2020,7719244,54642
10/10/2020,7763864,44620
10/11/2020,7805537,41673
10/12/2020,7857987,52450
10/13/2020,7917523,59536
10/14/2020,7981179,63656
10/15/2020,8050344,69165
10/16/2020,8107891,57547
10/17/2020,8156114,48223
10/18/2020,8214509,58395
10/19/2020,8274864,60355
10/20/2020,8337640,62776
10/21/2020,8409341,71701
10/22/2020,8493088,83747
10/23/2020,8576818,83730
10/24/2020,8637625,60807
10/25/2020,8704423,66798
10/26/2020,8778055,73632
10/27/2020,8856413,78358
10/28/2020,8944934,88521
10/29/2020,,-8944934
